current_state,shortest_route,->E
A1,"E1,-1","A,E"
A2,"E1,-1","A,E"
A3,"B1,C1,D1,E2,-1","A,B,C,D,E"
B1,"C1,D1,E2,-1","B,C,D,E"
B2,"A2,E1,-1","B,A,E"
B3,"A2,E1,-1","B,A,E"
C1,"D1,E2,-1","C,D,E"
C2,"D1,E2,-1","C,D,E"
C3,"B3,A2,E1,-1","C,B,A,E"
D1,"E2,-1","D,E"
D2,"E2,-1","D,E"
D3,"K2,L2,E3,-1","D,K,L,E"
E1,-1,
E2,-1,
E3,-1,
F1,"H1,L3,E3,-1","F,H,L,E"
F2,"A1,E1,-1","F,A,E"
F3,"A1,E1,-1","F,A,E"
G1,"F2,A1,E1,-1","G,F,A,E"
G2,"F2,A1,E1,-1","G,F,A,E"
G3,"B2,C1,D1,E2,-1","G,B,C,D,E"
H1,"L3,E3,-1","H,L,E"
H2,"L3,E3,-1","H,L,E"
H3,"F3,A1,E1,-1","H,F,A,E"
I1,"J1,K1,L2,E3,-1","I,J,K,L,E"
I2,"J1,K1,L2,E3,-1","I,J,K,L,E"
I3,"G3,B2,C1,D1,E2,-1","I,G,B,C,D,E"
J1,"K1,L2,E3,-1","J,K,L,E"
J2,"K1,L2,E3,-1","J,K,L,E"
J3,"C2,D1,E2,-1","J,C,D,E"
K1,"L2,E3,-1","K,L,E"
K2,"L2,E3,-1","K,L,E"
K3,"D2,E2,-1","K,D,E"
L1,"K3,D2,E2,-1","L,K,,D,E"
L2,"E3,-1","L,E"
L3,"E3,-1","L,E"
