current_state,shortest_route,->F
A1,"B1,G1,F2,-1","A,B,G,F"
A2,"F1,-1","A,F"
A3,"F1,-1","A,F"
B1,"G1,F2,-1","B,G,F"
B2,"A2,F1,-1","B,A,F"
B3,"A2,F1,-1","B,A,F"
C1,"J2,I3,H2,F3,-1","C,J,I,H,F"
C2,"B3,A2,F1,-1","C,B,A,F"
C3,"B3,A2,F1,-1","C,B,A,F"
D1,"E2,A3,F1,-1","D,E,A,F"
D2,"C3,B3,A2,F1,-1","D,C,B,A,F"
D3,"C3,B3,A2,F1,-1","D,C,B,A,F"
E1,"D3,C3,B3,A2,F1,-1","E,D,C,B,A,F"
E2,"A3,F1,-1","E,A,F"
E3,"A3,F1,-1","E,A,F"
F1,-1,
F2,-1,
F3,-1,
G1,"F2,-1","G,F"
G2,"B2,A2,F1,-1","G,B,A,F"
G3,"F2,-1","G,F"
H1,"I1,G3,F2,-1","H,I,G,F"
H2,"F3,-1","H,F"
H3,"F3,-1","H,F"
I1,"G3,F2,-1","I,G,F"
I2,"H2,F3,-1","I,H,F"
I3,"H2,F3,-1","I,H,F"
J1,"C2,B3,A2,F1,-1","J,C,B,A,F"
J2,"I3,H2,F3,-1","J,I,H,F"
J3,"I3,H2,F3,-1","J,I,H,F"
K1,"L2,H3,F3,-1","K,L,H,F"
K2,"L2,H3,F3,-1","K,L,H,F"
K3,"J3,I3,H2,F3,-1","K,J,I,H,F"
L1,"H3,F3,-1","L,H,F"
L2,"H3,F3,-1","L,H,F"
L3,"E3,A3,F1,-1","L,E,A,F"
